2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,x,0,-2,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,x,0,-2,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,x,0,-2,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0
2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,x,0,-2,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0,0
-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0,0
2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0,0
-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,-2,x,1,-1,-2,0,0,0,0,0,0,0,0
2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,x,0,-2,-2,x,1,-1,-2,0,0,0,0,0,0,0
-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0,0
2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,0,-2,x,1,-1,-2,0,0,0,0,0
-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,-2,x,1,-1,-2,0,0,0,0
2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,x,0,-2,-2,x,1,-1,-2,0,0,0
-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,0,0,-2,x,1,-1,-2,0,0
2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,0,-2,x,1,-1,-2,0
-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,-2,x,1,-1,-2
2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,x,0,-2,-2,x,1,-1
-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,0,0,1,-1,1
2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,0,2,-2,-2,0,2,0,-2,-2,2,0,-2,1,-1,1,-1
